trees,processes,time,SpeedUp,Efficiency
3,1,0.008,,
3,2,0.011000000000000001,0.7272727272727272,0.3636363636363636
3,4,0.012,0.6666666666666666,0.16666666666666666
3,8,1.036,0.007722007722007722,0.0009652509652509653
3,16,1.04,0.007692307692307692,0.00048076923076923074
3,32,1.043,0.007670182166826463,0.00023969319271332696
6,1,0.006999999999999999,,
6,2,0.011000000000000001,0.6363636363636362,0.3181818181818181
6,4,0.011000000000000001,0.6363636363636362,0.15909090909090906
6,8,1.035,0.006763285024154589,0.0008454106280193236
6,16,1.037,0.006750241080038573,0.0004218900675024108
6,32,1.047,0.006685768863419293,0.0002089302769818529
15,1,0.032,,
15,2,0.028999999999999998,1.1034482758620692,0.5517241379310346
15,4,0.024,1.3333333333333333,0.3333333333333333
15,8,1.038,0.030828516377649325,0.0038535645472061657
15,16,1.037,0.030858244937319194,0.0019286403085824497
15,32,1.042,0.030710172744721688,0.0009596928982725527
20,1,0.983,,
20,2,0.531,1.8512241054613934,0.9256120527306967
20,4,0.281,3.4982206405693947,0.8745551601423487
20,8,1.035,0.9497584541062802,0.11871980676328503
20,16,1.038,0.9470134874759152,0.0591883429672447
20,32,1.044,0.9415708812260536,0.029424090038314175
25,1,37.538000000000004,,
25,2,19.249000000000002,1.9501272793391864,0.9750636396695932
25,4,10.094,3.7188428769566086,0.9297107192391522
25,8,6.039,6.215929789700282,0.7769912237125353
25,16,3.04,12.348026315789475,0.7717516447368422
25,32,2.044,18.364970645792564,0.5739053326810176
27,1,150.07299999999998,,
27,2,78.618,1.9088885496959982,0.9544442748479991
27,4,40.498000000000005,3.7056891698355465,0.9264222924588866
27,8,21.054000000000002,7.128004179728316,0.8910005224660394
27,16,11.048,13.583725561187544,0.8489828475742215
27,32,6.047999999999999,24.81365740740741,0.7754267939814815
