program,trees,processes,time
bcast,27,4,40.498
send,20,2,0.525
bcast,3,1,0.008
send,3,16,1.037
bcast,27,1,150.073
send,6,32,1.047
bcast,20,32,1.044
send,20,4,0.276
send,27,16,11.047
bcast,3,4,0.012
send,15,32,1.045
send,20,16,1.038
bcast,20,1,0.983
bcast,3,2,0.011
bcast,27,2,78.618
send,25,32,2.046
bcast,15,2,0.029
send,3,2,0.011
send,6,2,0.013
send,15,2,0.03
send,25,8,6.039
bcast,25,2,19.249
bcast,20,8,1.035
bcast,25,8,6.039
bcast,6,1,0.007
send,6,4,0.021
bcast,15,4,0.024
bcast,6,8,1.035
bcast,20,16,1.038
send,6,16,1.038
send,6,1,0.008
send,27,32,6.051
bcast,25,32,2.044
send,3,1,0.007
send,15,1,0.032
send,3,4,0.018
send,15,16,1.038
bcast,25,1,37.538
bcast,25,4,10.094
bcast,15,8,1.038
bcast,25,16,3.04
send,25,2,19.615
send,6,8,1.035
send,3,8,1.036
bcast,3,32,1.043
bcast,27,32,6.048
bcast,6,16,1.037
bcast,15,32,1.042
send,15,8,1.035
send,25,4,10.171
bcast,20,4,0.281
send,27,4,40.119
bcast,27,16,11.048
bcast,6,32,1.047
send,20,1,1.005
send,25,16,3.04
send,27,8,21.057
bcast,15,16,1.037
bcast,6,2,0.011
send,27,2,79.077
bcast,3,16,1.04
send,15,4,0.025
send,20,32,1.045
send,3,32,1.044
bcast,27,8,21.054
bcast,15,1,0.032
send,25,1,36.958
send,20,8,1.034
bcast,20,2,0.531
bcast,3,8,1.036
bcast,6,4,0.011
send,27,1,152.838
