program,trees,cores,time
bcast,15,1,0.028
bcast,15,16,0.184
bcast,15,2,0.232
bcast,15,32,0.418
bcast,15,4,0.492
bcast,15,8,0.631
bcast,20,1,1.611
bcast,20,16,2.0
bcast,20,2,3.048
bcast,20,32,3.3360000000000003
bcast,20,4,4.4350000000000005
bcast,20,8,5.082000000000001
bcast,25,1,42.596000000000004
bcast,25,16,53.050000000000004
bcast,25,2,91.517
bcast,25,32,97.194
bcast,25,4,137.514
bcast,25,8,158.03
bcast,27,1,308.016
bcast,27,16,349.42100000000005
bcast,27,2,506.5610000000001
bcast,27,32,527.748
bcast,27,4,689.5970000000001
bcast,27,8,771.6370000000001
bcast,3,1,771.64
bcast,3,16,771.763
bcast,3,2,771.7750000000001
bcast,3,32,771.9370000000001
bcast,3,4,771.9590000000001
bcast,3,8,772.0770000000001
bcast,6,1,772.0810000000001
bcast,6,16,772.2270000000001
bcast,6,2,772.2390000000001
bcast,6,32,772.3950000000002
bcast,6,4,772.4170000000001
bcast,6,8,772.4850000000001
send,15,1,772.513
send,15,16,772.612
send,15,2,772.66
send,15,32,772.8109999999999
send,15,4,772.8839999999999
send,15,8,772.9729999999998
send,20,1,773.9719999999999
send,20,16,774.3409999999998
send,20,2,775.3809999999999
send,20,32,775.6709999999998
send,20,4,776.7509999999999
send,20,8,777.3369999999999
send,25,1,814.2699999999999
send,25,16,824.5679999999999
send,25,2,863.7549999999999
send,25,32,869.117
send,25,4,909.7429999999999
send,25,8,929.9559999999999
send,27,1,1082.705
send,27,16,1123.532
send,27,2,1281.51
send,27,32,1302.458
send,27,4,1462.7250000000001
send,27,8,1543.7610000000002
send,3,1,1543.765
send,3,16,1543.844
send,3,2,1543.8550000000002
send,3,32,1544.0160000000003
send,3,4,1544.0510000000002
send,3,8,1544.0900000000001
send,6,1,1544.094
send,6,16,1544.19
send,6,2,1544.2040000000002
send,6,32,1544.3500000000001
send,6,4,1544.394
send,6,8,1544.443
